url,chunk_text
https://www.doktorsitesi.com/blog/makale/bagimlilik-4,"Günümüzde bağımlılık çok ciddi bir sağlık kriminal ve sosyal sorun olarak karşımızda durmaktadır. Yeme bağımlılığı ciddi bir genel sağlık sorunu olmakla birlikte internet bağımlılığı oyun bağımlılığı gibi sorunlar da eğitim çağındaki gençler için ciddi bir kişisel gelişim sorunu olarak durmaktadır. ayrıca madde bağımlılığı dediğimiz nokta da ise durum kriminal sosyal ve devlet yönetiminde ciddi bir sorun olarak karşımıza çıkmaktadır. Aslında sorun kimseden uzak değildir ve çoğunlukla sorun tedavi edilmemiş ve farkında olunmayan ruhsallık üzerinde oluşmaktadır.
Hemen hemen her bağımlıda bir ruhsal tanı vardır. yeme bozukluğunda da tedavi edilmemiş kaygı bozukluğu veya depresyonu yemeği ödül olarak kullanarak farkında olunmayan tedavi gayreti vardır. Bu nafile çaba kişiyi kişiyi diyabet obez ve obezite ile artan sağlık sorunları ile karşı karşıya getirecektir.Bu tanımlamanın tersi de doğrudur. Oluşturan mekanizmanın ruhsal kısmı tedavi edilmezse kişi tam olarak tedavi edilmiş sayılmaz."
https://www.doktorsitesi.com/blog/makale/bagimlilik-4,"Bir başka deyişle  var olan bir ruhsal  hastalığı  tedavi etmek   veya fark etmediği bir kişilik özelliğinin yol açtığı bir krizden kurtulmak için    kişi alkol alımına sigara içimine veya psikoaktif madde kullanımına yönelir. Bu çaresiz çırpınış  bir süre sonra kendisini bağımlı durumuna düşürür. Davranışsal ve kimyasal bağımlılık oluşması halinde ise durum  kesinlikle daha kötü olur.
Aşağıda sıralayacağımız ruhsal hastalıkların  tümünde  bu risk mevcuttur
Kaygı bozuklukları
Depresyon
İki uçlu duygu durum bozukluğu
Dikkat eksikliği ve hiperaktivite bozukluğu
Travma sonrası stres bozukluğu
Yeme bozuklukları
Özellikle borderline kişilik bozukluğu ve antisosyal kişilik bozukluğu başta olmak üzere kişilik bozuklukları
Şizofreni ve diğer psikotik bozukluklar"
https://www.doktorsitesi.com/blog/makale/bagimlilik-4,"Travma sonrası stres bozukluğu
Yeme bozuklukları
Özellikle borderline kişilik bozukluğu ve antisosyal kişilik bozukluğu başta olmak üzere kişilik bozuklukları
Şizofreni ve diğer psikotik bozukluklar
Burada özellikle  Kişilik ve bağımlılık riski arasında  antisosyal kişilik bozukluğu  ve borderline kişilik bozukluğu  ile bağımlılık arasında ilişkiye dikkat çekmek isterim. Bu olgularda bağımlılık eklenmesi tedaviyi çok karmaşık hale getirecektir. O zaman bu kişiliklerde  üstte sıraladığımız ruhsal durumların oluşması halinde hızlı ve etkin tedavi alınmasının çok önemli olduğu anlaşılacaktır.
Buradan şunu vurgulamak gerekir  eğer bir kişi bağımlılık sorunu ile boğuşuyorsa   ruhsal psikolojisi hayati bir yerdedir. ve ayrıca ruhsal tedavisi de  kritik önemdedir."
https://www.doktorsitesi.com/blog/makale/bagimlilik-4,"Buradan şunu vurgulamak gerekir  eğer bir kişi bağımlılık sorunu ile boğuşuyorsa   ruhsal psikolojisi hayati bir yerdedir. ve ayrıca ruhsal tedavisi de  kritik önemdedir.
İkinci bir konu da  ülkemizde pek bilinmese de davranışsal bağımlılık veya etkinlik bağımlılıkları  durumlarıdır.  Oluşum yine benzer mekanizma ile olmaktadır. Bu durumlara  internet bağımlılığı sosyal medya bağımlılıkları  yeme bağımlılığı ve alışveriş bağımlılıkları ve cinsel bağımlılıklar ve pornografi örnek olarak gösterilebilir.
Tabii Ki  hiç kimse hem kendinin hem de yakınlarının  davranışsal  süreçsel veya kimyasal bağımlı olmasını  istemez.  Ama bağımlılığa götüren süreçlerin ne olduğunu da tam olarak anlamaz.
Burada bazı durumların  sinsi bir şekilde bağımlılık yolunu açtIğını görmekteyiz. Ruhsal psikolojiler ve  ve hastalıklar  erken tedavi edilmezse  bu yolun açılması  en sık rastlanan durumdur.   Önlemenin de en etkili yolu  bu durumların erken fark edilip tedavi edilmesidir"
https://www.doktorsitesi.com/blog/makale/eye-health-and-diabetes,"DIABETES AND EYE HEALTH
To see, light must be able to pass from the front of the eye through to the retina, being focused by the lens. The retina is the light-sensitive layer of cells at the back of the eye – the ‘seeing’ part of the eye. It converts the light into electrical signals. These signals are sent to your brain through the optic nerve and your brain interprets them to produce the images that you see. A delicate network of blood vessels supplies the retina with blood. When those blood vessels become blocked, leaky or grow haphazardly, the retina becomes damaged and is unable to work properly. Retinopathy is damage to the retina."
https://www.doktorsitesi.com/blog/makale/eye-health-and-diabetes,"RISKS TO YOUR EYES Persistent high levels of glucose can lead to damage in your eyes. To reduce the risk of eye problems, blood glucose, blood pressure and blood fats need to be kept within a target range, which should be agreed by you and your healthcare team. The aim of your diabetes treatment, with a healthy lifestyle, is to achieve these agreed targets. Smoking also plays a major part in eye damage so, if you do smoke, stopping will be extremely helpful."
https://www.doktorsitesi.com/blog/makale/eye-health-and-diabetes,"TYPES OF RETINOPATHY : There are different types of retinopathy: background retinopathy, maculopathy and proliferative retinopathy. BACKGROUND RETINOPATHY The earliest visible change to the retina is known as background retinopathy. This will not affect your eyesight, but it needs to be carefully monitored. The capillaries (small blood vessels) in the retina become blocked, they may bulge slightly (microaneurysm) and may leak blood (haemorrhages) or fluid (exudates). MACULOPATHY Maculopathy is when the background retinopathy (see above) is at or around the macula. The macula is the most used area of the retina. It provides our central vision and is essential for clear, detailed vision. If fluid leaks from the enlarged blood vessels it can build up and causes swelling (oedema). This can lead to some loss of vision, particularly for reading and seeing fine details, and everything may appear blurred, as if you are looking through a layer of fluid not quite as clear as water."
https://www.doktorsitesi.com/blog/makale/eye-health-and-diabetes,"This can lead to some loss of vision, particularly for reading and seeing fine details, and everything may appear blurred, as if you are looking through a layer of fluid not quite as clear as water. PROLIFERATIVE RETINOPATHY Proliferative retinopathy occurs as background retinopathy develops and large areas of the retina are deprived of a proper blood supply because of blocked and damaged blood vessels. This stimulates the growth of new blood vessels to replace the blocked ones. These growing blood vessels are very delicate and bleed easily. The bleeding (haemorrhage) causes scar tissue that starts to shrink and pull on the retina, leading to it becoming detached and possibly causing vision loss or blindness. Once the retinopathy has reached this stage it will be treated with laser therapy. Beams of bright laser light make tiny burns to stop the leaking and to stop the growth of new blood vessels. HOW IS"
https://www.doktorsitesi.com/blog/makale/eye-health-and-diabetes,"RETINOPATHY TREATED? LASER TREATMENT : The type of laser treatment used to treat diabetic retinopathy is called photocoagulation. Many people having laser treatment have very little visual impairment. Others who may have early or moderate maculopathy and proliferative retinopathy will also benefit from laser treatment. Laser treatment has revolutionised retinopathy treatment. Together with effective screening, good blood glucose control and good blood pressure, it can successfully maintain vision. Tiny laser burns allow more oxygen and nutrients to reach the retina, which improves the blood circulation. This signals that there is no need for 'new vessels' to be produced. You may need more than one treatment as the vessels may start growing again."
https://www.doktorsitesi.com/blog/makale/eye-health-and-diabetes,"WHAT’S THE PROCEDURE ? You have local anaesthetic and pupil-dilating eye drops put in your eye.A special contact lens is placed on your eye to hold your eyelids open and allow the laser beam to focus onto your retinaThe laser beam is directed at damaged areas of the retina.Small bursts of tiny beams of laser light then seal leaky blood vessels and destroy abnormal new blood vessels in the retina. An eye specialist (ophthalmologist) carries out laser treatment and nearly always as an outpatient procedure, allowing you to go home afterwards. A session of treatment can vary in length from person to person. Ask your eye specialist how long your sessions will last and whether you will be expected to come back for more treatment. As a local anaesthetic is used, laser treatment is not painful for most people, although a few will experience some discomfort. Many people say that the first laser sessions are not painful, but treatment can become uncomfortable if many sessions are needed. Before"
